sample_index,sample_id,source_cube,label,max_absolute_difference,mean_absolute_difference,rmse,absolute_tolerance,within_tolerance
551,3-1/72,3-1,3,9.207583151482623e-08,2.7820720598007962e-08,3.451133523688462e-08,1e-05,1
552,3-1/73,3-1,3,1.2450748054781968e-07,2.6657788756621466e-08,3.449826345686489e-08,1e-05,1
553,3-1/74,3-1,3,1.0634010449983577e-07,2.5460182072164427e-08,3.243909722857999e-08,1e-05,1
554,3-1/75,3-1,3,1.2818589301133443e-07,3.0993096263740314e-08,3.879098875091999e-08,1e-05,1
555,3-1/76,3-1,3,1.0119319671098026e-07,2.5938080029624378e-08,3.333552415017093e-08,1e-05,1
556,3-1/77,3-1,3,1.4824181049366558e-07,3.229379791684214e-08,4.1273699463281656e-08,1e-05,1
557,3-1/78,3-1,3,1.1841667502121567e-07,2.7769831184293212e-08,3.500529265370264e-08,1e-05,1
558,3-1/79,3-1,3,1.0439231534764559e-07,2.2655847143349343e-08,3.012514434931283e-08,1e-05,1
559,3-1/80,3-1,3,1.1871668881280328e-07,2.3934471817317472e-08,3.1138707121533843e-08,1e-05,1
560,3-2/1,3-2,3,1.6152600668117856e-07,3.148987659433133e-08,4.0473848573093665e-08,1e-05,1
561,3-2/2,3-2,3,1.197284941190091e-07,3.07465588554799e-08,3.9223361182029914e-08,1e-05,1
562,3-2/3,3-2,3,9.550604707087018e-08,2.8047882170865133e-08,3.4765868653449344e-08,1e-05,1
563,3-2/4,3-2,3,1.3404861987087457e-07,3.0533089999509365e-08,3.915070995457882e-08,1e-05,1
564,3-2/5,3-2,3,1.5239823958346221e-07,3.143999871685117e-08,4.054347957534562e-08,1e-05,1
565,3-2/6,3-2,3,1.0761949764681589e-07,2.7986489750239482e-08,3.48411378962199e-08,1e-05,1
566,3-2/7,3-2,3,9.736554218431337e-08,2.4432314718291646e-08,3.120302231415215e-08,1e-05,1
567,3-2/8,3-2,3,1.267820104455808e-07,2.9994101930621844e-08,3.79971897978888e-08,1e-05,1
568,3-2/9,3-2,3,9.870175088355637e-08,2.619897531402564e-08,3.2987735778778254e-08,1e-05,1
569,3-2/10,3-2,3,9.470080031270811e-08,2.268610760358669e-08,2.8713462535848513e-08,1e-05,1
570,3-2/11,3-2,3,7.760406717238766e-08,2.2875081488596348e-08,2.8565308316369956e-08,1e-05,1
571,3-2/12,3-2,3,1.5674275843924335e-07,2.7569406727358674e-08,3.5332397936168526e-08,1e-05,1
572,3-2/13,3-2,3,1.0306636533119473e-07,2.556484429011574e-08,3.294097651046411e-08,1e-05,1
573,3-2/14,3-2,3,1.129176879777205e-07,2.322878999028506e-08,2.9741728023152033e-08,1e-05,1
574,3-2/15,3-2,3,1.0775686876129953e-07,2.5855592940044933e-08,3.3503943674535626e-08,1e-05,1
575,3-2/16,3-2,3,1.0615303447369939e-07,2.283740524296961e-08,3.022393575551662e-08,1e-05,1
576,3-2/17,3-2,3,1.0682390927385654e-07,2.476557783295864e-08,3.227837618483849e-08,1e-05,1
577,3-2/18,3-2,3,1.1738930028037942e-07,2.82572757947621e-08,3.611594840461295e-08,1e-05,1
578,3-2/19,3-2,3,9.453220761734826e-08,2.693390214401931e-08,3.4181172749236385e-08,1e-05,1
579,3-2/20,3-2,3,1.3489472228123134e-07,2.7144324821459334e-08,3.573784551127589e-08,1e-05,1
580,3-2/21,3-2,3,1.412938792633156e-07,3.178279320649882e-08,4.111029331820249e-08,1e-05,1
581,3-2/22,3-2,3,8.834259834777924e-08,2.598452046884533e-08,3.2681616917852457e-08,1e-05,1
582,3-2/23,3-2,3,1.2121843462331583e-07,2.6431536886632888e-08,3.381030786304468e-08,1e-05,1
583,3-2/24,3-2,3,1.0546624940044325e-07,2.6969849067178515e-08,3.383624513407652e-08,1e-05,1
584,3-2/25,3-2,3,9.563431790926558e-08,2.6873984743754615e-08,3.347447797862126e-08,1e-05,1
585,3-2/26,3-2,3,1.2489193557119194e-07,3.1133266416011216e-08,3.966818996942193e-08,1e-05,1
586,3-2/27,3-2,3,1.4367388290192906e-07,3.277500874341378e-08,4.1754513031799284e-08,1e-05,1
587,3-2/28,3-2,3,1.1847524217234451e-07,2.593097164318255e-08,3.290408048537288e-08,1e-05,1
588,3-2/29,3-2,3,1.0708282693894233e-07,2.4530027315658737e-08,3.170515313709485e-08,1e-05,1
589,3-2/30,3-2,3,9.315097748707757e-08,2.464437507976767e-08,3.1102579800950906e-08,1e-05,1
590,3-2/31,3-2,3,1.426162641315898e-07,3.333444708883585e-08,4.2354102608084386e-08,1e-05,1
591,3-2/32,3-2,3,1.0813093898054404e-07,2.6011553921702546e-08,3.333575283143635e-08,1e-05,1
592,3-2/33,3-2,3,1.3040036572764535e-07,2.8601882120238513e-08,3.682203939038483e-08,1e-05,1
593,3-2/34,3-2,3,9.665248612567012e-08,2.7024571303557958e-08,3.495577615474299e-08,1e-05,1
594,3-2/35,3-2,3,1.233920720045134e-07,2.4931968790093643e-08,3.2861514171455196e-08,1e-05,1
595,3-2/36,3-2,3,1.5356474425409772e-07,2.5043461145974117e-08,3.2711292352383065e-08,1e-05,1
596,3-2/37,3-2,3,1.235370191698948e-07,3.097797051289007e-08,4.0137910435954586e-08,1e-05,1
597,3-2/38,3-2,3,8.450795496717234e-08,2.3759617561809696e-08,2.983280171542792e-08,1e-05,1
