model_id,role,view,classifier,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,equal_constructed_batch_accuracy,fold_balanced_accuracy_min,fold_balanced_accuracy_max,fold_balanced_accuracy_mean,fold_balanced_accuracy_sd,errors,same_oof_selected,late_spectral_weight,late_mat_weight
late_w0.25__foreground_iqr__extra_trees,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_extra_trees,1012,0.8488142292490118,0.850164675245098,0.849105428559471,0.9426148947985052,0.4712392698075332,0.42325617547474326,0.8487923384576928,0.7797400210084033,0.9053662330316742,0.8501932924612152,0.04417374404432494,153,0,0.25,0.75
late_w0.50__foreground_iqr__extra_trees,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_extra_trees,1012,0.9782608695652174,0.9785645595043573,0.9786211655835368,0.5661273049228943,0.24227928241290517,0.389200681059873,0.9782449068866392,0.9692095588235294,0.9910714285714286,0.9786058954831933,0.007698887518117952,22,0,0.5,0.5
late_w0.75__foreground_iqr__extra_trees,same_oof_late_fusion_exploratory_only,foreground_iqr,spectral_ensemble_plus_extra_trees,1012,0.9822134387351779,0.9824133646514162,0.9823958626309626,0.30473400748150675,0.09946268878607005,0.21933646068106483,0.9822053493313336,0.9692095588235294,0.9921875,0.9824547006302522,0.008755156203003003,18,1,0.75,0.25
late_w0.25__radial_inner_minus_outer__shrinkage_lda,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_shrinkage_lda,1012,0.8992094861660079,0.9007672079248366,0.8990553958169054,0.6496260602913894,0.3218895528110113,0.32665746000788076,0.8992157230346207,0.853203781512605,0.9453125,0.9007195125646412,0.033312216588642904,102,0,0.25,0.75
late_w0.50__radial_inner_minus_outer__shrinkage_lda,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_shrinkage_lda,1012,0.9752964426877471,0.9756348720043573,0.9757051611479937,0.41645677197436054,0.17384542320786148,0.28746061485712093,0.9752921509811274,0.9613970588235294,0.9848345588235294,0.9756762079831933,0.008503295619061014,25,0,0.5,0.5
late_w0.75__radial_inner_minus_outer__shrinkage_lda,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_shrinkage_lda,1012,0.9792490118577075,0.9794836771514162,0.9794908434697318,0.242141857750959,0.080812068579867,0.16695148205951105,0.9792525934258218,0.9613970588235294,0.9910714285714286,0.9795250131302522,0.009826247008228553,21,0,0.75,0.25
late_w0.25__radial_inner_minus_outer__logistic_regression,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_logistic_regression,1012,0.9120553359683794,0.9132986962145969,0.9114936681064911,0.6561230027051514,0.3204007549210783,0.34545279019356295,0.9120266216722909,0.8915441176470589,0.9457720588235294,0.9132955165239173,0.020289470901332738,89,0,0.25,0.75
late_w0.50__radial_inner_minus_outer__logistic_regression,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_logistic_regression,1012,0.9752964426877471,0.9756348720043573,0.9757051611479937,0.4210606983045969,0.1731632882973523,0.2904004280843564,0.9752921509811274,0.9613970588235294,0.9848345588235294,0.9756762079831933,0.008503295619061014,25,0,0.5,0.5
late_w0.75__radial_inner_minus_outer__logistic_regression,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_logistic_regression,1012,0.9792490118577075,0.9794836771514162,0.9794908434697318,0.24466665530073306,0.08062619963266879,0.16869448138455068,0.9792525934258218,0.9613970588235294,0.9910714285714286,0.9795250131302522,0.009826247008228553,21,0,0.75,0.25
late_w0.25__radial_inner_minus_outer__rbf_svm,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_rbf_svm,1012,0.9278656126482213,0.9286854064542484,0.9275232155087625,0.857299921682391,0.4269753553492846,0.4788309674462705,0.9278918260217472,0.8748030462184874,0.9535845588235294,0.928637711094053,0.024072481127069983,73,0,0.25,0.75
