model_id,role,view,classifier,held_out_batch,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,errors
late_w0.75__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,6,126,0.9682539682539683,0.9692095588235294,0.9676262917190337,0.3261143026979936,0.10819100637487776,0.18848909578426756,4
late_w0.75__radial_inner_minus_outer__extra_trees,same_oof_late_fusion_exploratory_only,radial_inner_minus_outer,spectral_ensemble_plus_extra_trees,7,126,0.9920634920634921,0.9921875,0.9923963133640553,0.2760603163031036,0.08917827345663804,0.22271380237310995,1
late_w0.25__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,0,127,0.8110236220472441,0.8138786764705882,0.8100727647380791,0.46084785626105884,0.25977537378679605,0.0759568105369765,24
late_w0.25__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,1,127,0.7795275590551181,0.7808560924369747,0.7864319748896361,0.48935250011886217,0.27331862024275516,0.11014199968388028,28
late_w0.25__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,2,127,0.8031496062992126,0.8038340336134454,0.802876038169338,0.502619343958034,0.2774028392839554,0.12435476611088607,25
late_w0.25__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,3,127,0.84251968503937,0.8440126050420168,0.8453593018397458,0.4576346858332159,0.2522813175666158,0.0938997991877335,20
late_w0.25__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,4,126,0.9126984126984127,0.9145220588235294,0.912783702169478,0.41329668571771055,0.21652440884079957,0.17954472829317086,11
late_w0.25__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,5,126,0.8333333333333334,0.8368566176470589,0.8314841240748498,0.45044690712433694,0.23933030216977766,0.12539014196857723,21
late_w0.25__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,6,126,0.8253968253968254,0.8290441176470589,0.8275005927135745,0.5018488766891295,0.2608863043179526,0.11485118956812972,22
late_w0.25__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,7,126,0.8095238095238095,0.8152573529411764,0.8095005263077018,0.45188344738491476,0.24903083029668513,0.09388496432016881,24
late_w0.50__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,0,127,0.9448818897637795,0.9457720588235294,0.9451286764705883,0.30124594534752974,0.14318459894712135,0.16580877202601266,7
late_w0.50__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,1,127,0.968503937007874,0.968093487394958,0.9685892767012312,0.3094343630626987,0.1454755795434675,0.20007215853501514,4
late_w0.50__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,2,127,0.9448818897637795,0.9462316176470589,0.9464530863665115,0.3465261359185981,0.1628516796035563,0.16992655465230888,7
late_w0.50__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,3,127,0.9606299212598425,0.9613970588235294,0.9618083193688032,0.29654967030569235,0.14032164925160914,0.16707028746216585,5
late_w0.50__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,4,126,0.9761904761904762,0.9765625,0.9760603345280765,0.27172653877017255,0.12066987166756493,0.18170403755937992,3
late_w0.50__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,5,126,0.9841269841269841,0.984375,0.9843597262952102,0.2933083148111051,0.13084206728422243,0.20356810172823617,2
