run_id,direction,train_suffix,test_suffix,model,seed,condition,n_train,n_validation,training_seconds,evaluation_seconds,parameter_count,calibration,n,n_correct,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,nll,brier,ece_10
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,1,2,fusion_net,2025,mean_broadcast,520,130,90.57152959999803,10.775327700001071,209000,raw,614,251,0.40879478827361565,0.42378472222222224,0.41990747487071284,0.42378472222222224,0.40607071911106246,1.4834838604253788,0.6908930572382879,0.020586333094077678
suffix_1_to_2__fusion_net__seed_2025,suffix_1_to_2,1,2,fusion_net,2025,mean_broadcast,520,130,90.57152959999803,10.775327700001071,209000,temperature_scaled,614,251,0.40879478827361565,0.42378472222222224,0.41990747487071284,0.42378472222222224,0.40607071911106246,1.4997625637591598,0.7015150399059354,0.07087166449735559
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,2,1,snv_lr,42,full,491,123,0.7215747000009287,0.2677345999982208,3144,raw,650,580,0.8923076923076924,0.8909722222222223,0.893265568395581,0.8909722222222223,0.888988215500772,0.3561019144362677,0.164112394468981,0.026352495871665393
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,2,1,snv_lr,42,full,491,123,0.7215747000009287,0.2677345999982208,3144,temperature_scaled,650,580,0.8923076923076924,0.8909722222222223,0.893265568395581,0.8909722222222223,0.888988215500772,0.35854195978285297,0.1643412359380177,0.027988318138691855
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,2,1,snv_lr,42,spatial_shuffle,491,123,0.7215747000009287,0.2696481999955722,3144,raw,650,580,0.8923076923076924,0.8909722222222223,0.893265568395581,0.8909722222222223,0.888988215500772,0.3561019144362677,0.164112394468981,0.026352495871665393
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,2,1,snv_lr,42,spatial_shuffle,491,123,0.7215747000009287,0.2696481999955722,3144,temperature_scaled,650,580,0.8923076923076924,0.8909722222222223,0.893265568395581,0.8909722222222223,0.888988215500772,0.35854195978285297,0.1643412359380177,0.027988318138691855
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,2,1,snv_lr,42,mask_only,491,123,0.7215747000009287,0.2753809999994701,3144,raw,650,90,0.13846153846153847,0.125,0.01730769230769231,0.125,0.030405405405405407,23.805187422953825,1.7230769230769232,0.8615384615384616
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,2,1,snv_lr,42,mask_only,491,123,0.7215747000009287,0.2753809999994701,3144,temperature_scaled,650,90,0.13846153846153847,0.125,0.01730769230769231,0.125,0.030405405405405407,23.805187422953825,1.7230769230769232,0.8615384615384616
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,2,1,snv_lr,42,mean_broadcast,491,123,0.7215747000009287,0.273164899997937,3144,raw,650,580,0.8923076923076924,0.8909722222222223,0.893265568395581,0.8909722222222223,0.888988215500772,0.3561019144362677,0.164112394468981,0.026352495871665393
suffix_2_to_1__snv_lr__seed_42,suffix_2_to_1,2,1,snv_lr,42,mean_broadcast,491,123,0.7215747000009287,0.273164899997937,3144,temperature_scaled,650,580,0.8923076923076924,0.8909722222222223,0.893265568395581,0.8909722222222223,0.888988215500772,0.35854195978285297,0.1643412359380177,0.027988318138691855
