protocol,model,actual_label,predicted_label,count
random_seed_holdout,sg_smooth_lr,4,3,0
random_seed_holdout,sg_smooth_lr,4,4,40
random_seed_holdout,sg_smooth_lr,4,5,0
random_seed_holdout,sg_smooth_lr,4,6,0
random_seed_holdout,sg_smooth_lr,4,7,0
random_seed_holdout,sg_smooth_lr,5,0,0
random_seed_holdout,sg_smooth_lr,5,1,3
random_seed_holdout,sg_smooth_lr,5,2,0
random_seed_holdout,sg_smooth_lr,5,3,0
random_seed_holdout,sg_smooth_lr,5,4,0
random_seed_holdout,sg_smooth_lr,5,5,29
random_seed_holdout,sg_smooth_lr,5,6,6
random_seed_holdout,sg_smooth_lr,5,7,2
random_seed_holdout,sg_smooth_lr,6,0,0
random_seed_holdout,sg_smooth_lr,6,1,4
random_seed_holdout,sg_smooth_lr,6,2,3
random_seed_holdout,sg_smooth_lr,6,3,0
random_seed_holdout,sg_smooth_lr,6,4,0
random_seed_holdout,sg_smooth_lr,6,5,4
random_seed_holdout,sg_smooth_lr,6,6,29
random_seed_holdout,sg_smooth_lr,6,7,0
random_seed_holdout,sg_smooth_lr,7,0,0
random_seed_holdout,sg_smooth_lr,7,1,0
random_seed_holdout,sg_smooth_lr,7,2,0
random_seed_holdout,sg_smooth_lr,7,3,0
random_seed_holdout,sg_smooth_lr,7,4,0
random_seed_holdout,sg_smooth_lr,7,5,0
random_seed_holdout,sg_smooth_lr,7,6,0
random_seed_holdout,sg_smooth_lr,7,7,33
random_seed_holdout,sg_first_derivative_lr,0,0,40
random_seed_holdout,sg_first_derivative_lr,0,1,0
random_seed_holdout,sg_first_derivative_lr,0,2,0
random_seed_holdout,sg_first_derivative_lr,0,3,0
random_seed_holdout,sg_first_derivative_lr,0,4,0
random_seed_holdout,sg_first_derivative_lr,0,5,0
random_seed_holdout,sg_first_derivative_lr,0,6,0
random_seed_holdout,sg_first_derivative_lr,0,7,0
random_seed_holdout,sg_first_derivative_lr,1,0,0
random_seed_holdout,sg_first_derivative_lr,1,1,39
random_seed_holdout,sg_first_derivative_lr,1,2,0
random_seed_holdout,sg_first_derivative_lr,1,3,0
random_seed_holdout,sg_first_derivative_lr,1,4,0
random_seed_holdout,sg_first_derivative_lr,1,5,1
random_seed_holdout,sg_first_derivative_lr,1,6,0
random_seed_holdout,sg_first_derivative_lr,1,7,0
random_seed_holdout,sg_first_derivative_lr,2,0,0
random_seed_holdout,sg_first_derivative_lr,2,1,0
random_seed_holdout,sg_first_derivative_lr,2,2,37
random_seed_holdout,sg_first_derivative_lr,2,3,0
random_seed_holdout,sg_first_derivative_lr,2,4,3
random_seed_holdout,sg_first_derivative_lr,2,5,0
random_seed_holdout,sg_first_derivative_lr,2,6,0
random_seed_holdout,sg_first_derivative_lr,2,7,0
random_seed_holdout,sg_first_derivative_lr,3,0,0
random_seed_holdout,sg_first_derivative_lr,3,1,0
random_seed_holdout,sg_first_derivative_lr,3,2,0
random_seed_holdout,sg_first_derivative_lr,3,3,40
random_seed_holdout,sg_first_derivative_lr,3,4,0
random_seed_holdout,sg_first_derivative_lr,3,5,0
random_seed_holdout,sg_first_derivative_lr,3,6,0
random_seed_holdout,sg_first_derivative_lr,3,7,0
random_seed_holdout,sg_first_derivative_lr,4,0,0
random_seed_holdout,sg_first_derivative_lr,4,1,0
random_seed_holdout,sg_first_derivative_lr,4,2,4
random_seed_holdout,sg_first_derivative_lr,4,3,0
random_seed_holdout,sg_first_derivative_lr,4,4,39
random_seed_holdout,sg_first_derivative_lr,4,5,0
random_seed_holdout,sg_first_derivative_lr,4,6,0
random_seed_holdout,sg_first_derivative_lr,4,7,0
random_seed_holdout,sg_first_derivative_lr,5,0,0
random_seed_holdout,sg_first_derivative_lr,5,1,0
random_seed_holdout,sg_first_derivative_lr,5,2,0
random_seed_holdout,sg_first_derivative_lr,5,3,0
random_seed_holdout,sg_first_derivative_lr,5,4,0
random_seed_holdout,sg_first_derivative_lr,5,5,39
random_seed_holdout,sg_first_derivative_lr,5,6,0
random_seed_holdout,sg_first_derivative_lr,5,7,1
random_seed_holdout,sg_first_derivative_lr,6,0,0
random_seed_holdout,sg_first_derivative_lr,6,1,0
random_seed_holdout,sg_first_derivative_lr,6,2,0
random_seed_holdout,sg_first_derivative_lr,6,3,0
random_seed_holdout,sg_first_derivative_lr,6,4,0
random_seed_holdout,sg_first_derivative_lr,6,5,0
random_seed_holdout,sg_first_derivative_lr,6,6,40
random_seed_holdout,sg_first_derivative_lr,6,7,0
random_seed_holdout,sg_first_derivative_lr,7,0,0
random_seed_holdout,sg_first_derivative_lr,7,1,0
random_seed_holdout,sg_first_derivative_lr,7,2,0
random_seed_holdout,sg_first_derivative_lr,7,3,0
random_seed_holdout,sg_first_derivative_lr,7,4,0
random_seed_holdout,sg_first_derivative_lr,7,5,0
random_seed_holdout,sg_first_derivative_lr,7,6,0
random_seed_holdout,sg_first_derivative_lr,7,7,33
suffix_1_to_2,raw_lr,0,0,73
suffix_1_to_2,raw_lr,0,1,0
suffix_1_to_2,raw_lr,0,2,0
suffix_1_to_2,raw_lr,0,3,6
suffix_1_to_2,raw_lr,0,4,1
suffix_1_to_2,raw_lr,0,5,0
suffix_1_to_2,raw_lr,0,6,0
suffix_1_to_2,raw_lr,0,7,0
suffix_1_to_2,raw_lr,1,0,0
suffix_1_to_2,raw_lr,1,1,74
suffix_1_to_2,raw_lr,1,2,2
suffix_1_to_2,raw_lr,1,3,0
suffix_1_to_2,raw_lr,1,4,0
suffix_1_to_2,raw_lr,1,5,1
suffix_1_to_2,raw_lr,1,6,3
suffix_1_to_2,raw_lr,1,7,0
suffix_1_to_2,raw_lr,2,0,0
suffix_1_to_2,raw_lr,2,1,0
suffix_1_to_2,raw_lr,2,2,52
suffix_1_to_2,raw_lr,2,3,0
suffix_1_to_2,raw_lr,2,4,25
suffix_1_to_2,raw_lr,2,5,0
suffix_1_to_2,raw_lr,2,6,2
suffix_1_to_2,raw_lr,2,7,1
suffix_1_to_2,raw_lr,3,0,17
suffix_1_to_2,raw_lr,3,1,0
suffix_1_to_2,raw_lr,3,2,0
suffix_1_to_2,raw_lr,3,3,63
suffix_1_to_2,raw_lr,3,4,0
suffix_1_to_2,raw_lr,3,5,0
suffix_1_to_2,raw_lr,3,6,0
suffix_1_to_2,raw_lr,3,7,0
suffix_1_to_2,raw_lr,4,0,0
suffix_1_to_2,raw_lr,4,1,0
suffix_1_to_2,raw_lr,4,2,1
suffix_1_to_2,raw_lr,4,3,0
suffix_1_to_2,raw_lr,4,4,76
suffix_1_to_2,raw_lr,4,5,1
suffix_1_to_2,raw_lr,4,6,0
suffix_1_to_2,raw_lr,4,7,2
suffix_1_to_2,raw_lr,5,0,0
suffix_1_to_2,raw_lr,5,1,3
suffix_1_to_2,raw_lr,5,2,0
suffix_1_to_2,raw_lr,5,3,0
suffix_1_to_2,raw_lr,5,4,0
suffix_1_to_2,raw_lr,5,5,41
suffix_1_to_2,raw_lr,5,6,35
suffix_1_to_2,raw_lr,5,7,1
suffix_1_to_2,raw_lr,6,0,0
suffix_1_to_2,raw_lr,6,1,4
suffix_1_to_2,raw_lr,6,2,6
suffix_1_to_2,raw_lr,6,3,0
suffix_1_to_2,raw_lr,6,4,0
suffix_1_to_2,raw_lr,6,5,12
suffix_1_to_2,raw_lr,6,6,58
suffix_1_to_2,raw_lr,6,7,0
suffix_1_to_2,raw_lr,7,0,0
suffix_1_to_2,raw_lr,7,1,1
suffix_1_to_2,raw_lr,7,2,0
suffix_1_to_2,raw_lr,7,3,0
suffix_1_to_2,raw_lr,7,4,0
suffix_1_to_2,raw_lr,7,5,1
suffix_1_to_2,raw_lr,7,6,0
suffix_1_to_2,raw_lr,7,7,52
suffix_1_to_2,raw_svm,0,0,70
suffix_1_to_2,raw_svm,0,1,0
suffix_1_to_2,raw_svm,0,2,0
suffix_1_to_2,raw_svm,0,3,9
suffix_1_to_2,raw_svm,0,4,1
suffix_1_to_2,raw_svm,0,5,0
suffix_1_to_2,raw_svm,0,6,0
suffix_1_to_2,raw_svm,0,7,0
suffix_1_to_2,raw_svm,1,0,0
suffix_1_to_2,raw_svm,1,1,68
suffix_1_to_2,raw_svm,1,2,6
suffix_1_to_2,raw_svm,1,3,0
suffix_1_to_2,raw_svm,1,4,0
suffix_1_to_2,raw_svm,1,5,2
suffix_1_to_2,raw_svm,1,6,4
suffix_1_to_2,raw_svm,1,7,0
suffix_1_to_2,raw_svm,2,0,1
suffix_1_to_2,raw_svm,2,1,6
suffix_1_to_2,raw_svm,2,2,49
suffix_1_to_2,raw_svm,2,3,0
suffix_1_to_2,raw_svm,2,4,17
suffix_1_to_2,raw_svm,2,5,1
suffix_1_to_2,raw_svm,2,6,3
suffix_1_to_2,raw_svm,2,7,3
suffix_1_to_2,raw_svm,3,0,23
suffix_1_to_2,raw_svm,3,1,0
suffix_1_to_2,raw_svm,3,2,0
suffix_1_to_2,raw_svm,3,3,57
suffix_1_to_2,raw_svm,3,4,0
suffix_1_to_2,raw_svm,3,5,0
suffix_1_to_2,raw_svm,3,6,0
suffix_1_to_2,raw_svm,3,7,0
suffix_1_to_2,raw_svm,4,0,0
suffix_1_to_2,raw_svm,4,1,2
suffix_1_to_2,raw_svm,4,2,1
suffix_1_to_2,raw_svm,4,3,0
suffix_1_to_2,raw_svm,4,4,71
suffix_1_to_2,raw_svm,4,5,2
suffix_1_to_2,raw_svm,4,6,0
suffix_1_to_2,raw_svm,4,7,4
suffix_1_to_2,raw_svm,5,0,0
suffix_1_to_2,raw_svm,5,1,12
suffix_1_to_2,raw_svm,5,2,3
suffix_1_to_2,raw_svm,5,3,0
