effect_id,effect_label,role,calibration,predictor,scope,left_balanced_accuracy,right_balanced_accuracy,effect
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,seed_2025,suffix_2_to_1,0.24357638888888888,0.14878472222222222,0.09479166666666666
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,seed_2025,theta_two_direction_equal_weight,,,0.1529513888888889
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,probability_ensemble,suffix_1_to_2,0.42604166666666665,0.2150462962962963,0.21099537037037036
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,probability_ensemble,suffix_2_to_1,0.22413194444444443,0.1953125,0.028819444444444425
fusion_mean_broadcast_minus_mask_only,fusion_net(mean_broadcast) - fusion_net(mask_only),secondary,temperature_scaled,probability_ensemble,theta_two_direction_equal_weight,,,0.1199074074074074
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,seed_42,suffix_1_to_2,0.3018518518518518,0.125,0.17685185185185182
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,seed_42,suffix_2_to_1,0.4189236111111111,0.1234375,0.2954861111111111
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,seed_42,theta_two_direction_equal_weight,,,0.23616898148148147
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,seed_2024,suffix_1_to_2,0.3128472222222222,0.17048611111111112,0.1423611111111111
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,seed_2024,suffix_2_to_1,0.41857638888888893,0.125,0.29357638888888893
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,seed_2024,theta_two_direction_equal_weight,,,0.21796875000000002
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,seed_2025,suffix_1_to_2,0.4558449074074074,0.5309606481481481,-0.07511574074074073
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,seed_2025,suffix_2_to_1,0.44687499999999997,0.3579861111111111,0.08888888888888885
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,seed_2025,theta_two_direction_equal_weight,,,0.006886574074074059
